               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,            0.024474,            0.033406,           0.0027443,             0.99435,             0.99478,              0.9932,             0.69863,            0.020462,            0.024929,           0.0017261,            0.004951,            0.004951,            0.004951
                  53,            0.024049,            0.032767,           0.0026925,             0.98949,             0.99385,             0.98985,             0.73083,            0.017439,            0.024229,           0.0017094,            0.004852,            0.004852,            0.004852
                  54,            0.023877,            0.033209,            0.002639,             0.99286,             0.99605,             0.99326,             0.73484,            0.018296,            0.024304,           0.0016307,            0.004753,            0.004753,            0.004753
                  55,            0.023442,            0.032536,            0.002599,             0.99272,             0.99727,             0.99317,             0.73396,            0.018431,            0.024523,           0.0017202,            0.004654,            0.004654,            0.004654
                  56,            0.023447,            0.031827,           0.0024871,             0.99443,             0.99544,              0.9939,             0.74512,            0.016858,            0.024281,           0.0015538,            0.004555,            0.004555,            0.004555
                  57,            0.023287,            0.031997,           0.0024705,             0.99381,              0.9949,             0.99382,              0.7289,             0.01831,            0.024689,           0.0015729,            0.004456,            0.004456,            0.004456
                  58,            0.023331,            0.032772,           0.0024646,             0.99427,             0.99516,             0.99369,              0.7439,            0.016624,            0.023612,           0.0015893,            0.004357,            0.004357,            0.004357
                  59,            0.022809,            0.032424,           0.0025048,             0.99448,             0.99326,             0.99418,             0.71978,            0.019458,            0.024799,           0.0015169,            0.004258,            0.004258,            0.004258
                  60,            0.022841,            0.032475,           0.0024697,              0.9925,              0.9959,             0.99375,             0.74172,            0.016798,            0.024155,           0.0015132,            0.004159,            0.004159,            0.004159
                  61,             0.02238,             0.03201,           0.0022875,              0.9897,              0.9947,             0.98925,             0.72923,            0.017976,            0.024072,           0.0016129,             0.00406,             0.00406,             0.00406
                  62,            0.022502,            0.032172,           0.0024642,             0.99334,             0.99734,             0.99433,             0.71931,            0.018884,            0.024872,           0.0014913,            0.003961,            0.003961,            0.003961
                  63,            0.022241,            0.031877,           0.0023464,             0.99189,             0.99655,             0.99433,             0.74748,            0.016627,            0.024623,           0.0015397,            0.003862,            0.003862,            0.003862
                  64,            0.021878,            0.031462,           0.0024036,             0.99426,             0.99642,             0.99365,             0.73978,            0.017191,            0.024263,           0.0014762,            0.003763,            0.003763,            0.003763
                  65,            0.021912,             0.03194,           0.0023782,             0.99336,             0.99764,              0.9933,             0.72401,            0.018934,            0.024638,           0.0014005,            0.003664,            0.003664,            0.003664
                  66,            0.021982,            0.031509,            0.002198,             0.99278,             0.99768,             0.99325,             0.74649,            0.016638,            0.023913,            0.001359,            0.003565,            0.003565,            0.003565
                  67,             0.02166,            0.031603,            0.002187,             0.99103,             0.99532,             0.98936,             0.72746,            0.017577,            0.024372,           0.0013681,            0.003466,            0.003466,            0.003466
                  68,            0.021348,            0.031166,            0.002177,             0.99112,             0.99545,             0.98922,             0.74368,            0.016282,            0.024015,           0.0013206,            0.003367,            0.003367,            0.003367
                  69,            0.021385,            0.031669,           0.0022164,             0.99366,             0.99665,             0.99342,             0.74082,            0.016893,            0.024352,           0.0013625,            0.003268,            0.003268,            0.003268
